	bio_celltype
pdacb_cell_401	Ductal - terminal ductal like
pdacb_cell_402	Cancer
pdacb_cell_403	Ductal - CRISP3 high
pdacb_cell_404	Tuft cells
pdacb_cell_405	Ductal - terminal ductal like
pdacb_cell_406	Ductal - terminal ductal like
pdacb_cell_407	Endothelial cells
pdacb_cell_408	Cancer
pdacb_cell_409	mDCs
pdacb_cell_410	Endothelial cells
pdacb_cell_411	Ductal - terminal ductal like
pdacb_cell_412	Ductal - terminal ductal like
pdacb_cell_413	Ductal - terminal ductal like
pdacb_cell_414	Ductal - CRISP3 high
pdacb_cell_415	Ductal - terminal ductal like
pdacb_cell_416	Ductal - terminal ductal like
pdacb_cell_417	Ductal - MHC Class II
pdacb_cell_418	Ductal - MHC Class II
pdacb_cell_419	Ductal - terminal ductal like
pdacb_cell_420	Ductal - CRISP3 high
pdacb_cell_421	Cancer
pdacb_cell_422	Ductal - terminal ductal like
pdacb_cell_423	Ductal - MHC Class II
pdacb_cell_424	Ductal - CRISP3 high
pdacb_cell_425	Ductal - terminal ductal like
pdacb_cell_426	Ductal - terminal ductal like
pdacb_cell_427	Ductal - terminal ductal like
pdacb_cell_428	Ductal - terminal ductal like
pdacb_cell_429	Ductal - MHC Class II
pdacb_cell_430	Ductal - terminal ductal like
pdacb_cell_431	Ductal - terminal ductal like
pdacb_cell_432	Ductal - terminal ductal like
pdacb_cell_433	Ductal - CRISP3 high
pdacb_cell_434	Endocrine cells
pdacb_cell_435	Tuft cells
pdacb_cell_436	Ductal - terminal ductal like
pdacb_cell_437	Ductal - terminal ductal like
pdacb_cell_438	Ductal - terminal ductal like
pdacb_cell_439	Ductal - terminal ductal like
pdacb_cell_440	Ductal - MHC Class II
pdacb_cell_441	mDCs
pdacb_cell_442	Endothelial cells
pdacb_cell_443	Endothelial cells
pdacb_cell_444	Ductal - CRISP3 high
pdacb_cell_445	Ductal - terminal ductal like
pdacb_cell_446	Ductal - terminal ductal like
pdacb_cell_447	Cancer
pdacb_cell_448	Endothelial cells
pdacb_cell_449	Ductal - terminal ductal like
pdacb_cell_450	Ductal - terminal ductal like
pdacb_cell_451	Ductal - terminal ductal like
pdacb_cell_452	Ductal - terminal ductal like
pdacb_cell_453	Ductal - terminal ductal like
